row ID,Cluster,SlogP,SMR,LabuteASA,TPSA,AMW,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3
Row1536,Non-binders,-0.9368,27.6834,44.19374328,65.72,112.088,2,2,0,4,8,12,0,0,1,1,0,0,1,0,0,0,0,0,0,3.971197119,2.068931893,1.296045816,0.685866587,0.382688466,2.068931893,1.296045816,0.685866587,0.382688466,-1.32,4.829700599,1.651203466,0.841205377
Row1537,Non-binders,1.45489,32.4505,51.96807509,25.16,127.168,1,3,0,3,8,13,0,0,1,1,0,0,1,0,0,0,0,0,0,4.928573139,2.582853258,1.801721658,1.126123459,0.558340123,2.174604967,1.383445211,0.802981782,0.418914641,-0.83,5.309470014,1.961225715,0.869202061
Row1538,Non-binders,0.9608,60.2538,98.48602974,104.64,238.243,2,4,2,6,17,31,0,0,1,1,0,0,0,0,0,1,0,0,0.272727273,9.166008878,4.987052437,3.367686683,2.124530403,1.331217948,4.987052437,3.367686683,2.124530403,1.331217948,-2.24,12.82775068,6.365816486,4.873704535
Row1539,Non-binders,-0.9887,43.5755,72.42275053,92.16,184.151,2,4,0,6,13,21,0,0,1,1,0,0,1,0,0,0,0,0,0.285714286,6.688086163,3.613657588,2.443001676,1.437742692,0.835869665,3.613657588,2.443001676,1.437742692,0.835869665,-1.85,9.239686099,3.702396824,2.584855122
Row1540,Non-binders,1.24182,70.9138,104.7007812,99.41,245.286,2,4,0,6,18,33,0,0,2,2,0,0,1,0,0,1,0,0,0.25,10.3437472,5.612914053,3.769519077,2.391671053,1.668207832,5.612914053,3.769519077,2.391671053,1.668207832,-2.37,12.09659476,4.867529525,2.317440344
Row1541,Non-binders,3.5188,68.5741,104.3786733,71.82,245.282,1,3,0,5,18,33,0,0,3,2,1,1,1,0,0,1,1,1,0.461538462,10.05585875,6.379174352,4.915539464,3.68646774,2.700277763,6.379174352,4.915539464,3.68646774,2.700277763,-1.91,11.19585822,4.401118558,1.960755987
Row1542,Non-binders,1.7985,45.5161,68.15348655,54.7,167.599,2,2,0,4,11,17,0,0,2,2,0,0,1,0,0,1,0,0,0,6.390508091,3.546852375,2.678443524,1.881526325,1.325336003,3.168887902,2.271243397,1.566555931,1.053984489,-1.22,6.487694108,2.134222588,0.850820906
Row1543,Non-binders,3.2385,64.1704,98.96635816,46.38,240.69,0,3,0,5,16,29,0,0,2,1,1,1,0,1,1,1,0,0,0.454545455,9.612401904,5.74979808,4.374290176,3.066004329,2.211382687,5.371833607,3.937854396,2.830907227,2.045039132,-1.29,11.2030226,4.69903748,2.269793192
Row1544,Non-binders,2.6686,63.2764,89.55749764,26.02,193.249,1,1,0,1,15,26,0,0,2,2,0,0,0,0,0,2,0,0,0,8.273502692,4.776709006,3.203275852,2.076085899,1.27183328,4.776709006,3.203275852,2.076085899,1.27183328,-2.2,9.358706154,4.34399697,2.384630923
Row1545,Non-binders,3.12638,67.4317,100.7454135,48.71,223.279,1,3,0,3,17,30,1,1,2,2,0,0,1,0,0,1,0,0,0.142857143,9.590579614,5.476138427,3.788081737,2.580962028,1.640666721,5.476138427,3.788081737,2.580962028,1.640666721,-2.34,11.15454484,5.129292627,2.612928405
Row1546,Non-binders,2.1932,66.6742,104.6798913,41.99,244.269,1,2,1,4,18,31,0,0,2,2,0,0,1,0,0,1,0,0,0.142857143,9.766442075,5.687978147,3.841209005,2.567071221,1.610400592,5.687978147,3.841209005,2.567071221,1.610400592,-2.23,12.23281925,5.909238487,3.133422751
